timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu
2026/05/26 16:04:50.853, 3, NVIDIA A100-PCIE-40GB, 0, 0, 0, 40960, 49.06, 250.00, 34
2026/05/26 16:04:55.932, 3, NVIDIA A100-PCIE-40GB, 0, 0, 4, 40960, 43.88, 250.00, 34
2026/05/26 16:05:01.033, 3, NVIDIA A100-PCIE-40GB, 98, 59, 6405, 40960, 241.56, 250.00, 44
2026/05/26 16:05:06.138, 3, NVIDIA A100-PCIE-40GB, 87, 53, 6405, 40960, 221.18, 250.00, 48
2026/05/26 16:05:11.254, 3, NVIDIA A100-PCIE-40GB, 89, 53, 6405, 40960, 216.62, 250.00, 50
2026/05/26 16:05:16.366, 3, NVIDIA A100-PCIE-40GB, 98, 57, 6405, 40960, 262.76, 250.00, 52
2026/05/26 16:05:21.493, 3, NVIDIA A100-PCIE-40GB, 98, 58, 6405, 40960, 257.44, 250.00, 54
2026/05/26 16:05:26.605, 3, NVIDIA A100-PCIE-40GB, 98, 57, 6405, 40960, 257.60, 250.00, 56
2026/05/26 16:05:31.733, 3, NVIDIA A100-PCIE-40GB, 98, 57, 6405, 40960, 253.51, 250.00, 57
2026/05/26 16:05:36.842, 3, NVIDIA A100-PCIE-40GB, 99, 56, 6405, 40960, 253.22, 250.00, 58
2026/05/26 16:05:41.954, 3, NVIDIA A100-PCIE-40GB, 98, 58, 6405, 40960, 253.63, 250.00, 59
2026/05/26 16:05:47.045, 3, NVIDIA A100-PCIE-40GB, 98, 56, 6405, 40960, 254.27, 250.00, 60
2026/05/26 16:05:52.173, 3, NVIDIA A100-PCIE-40GB, 88, 53, 6405, 40960, 260.98, 250.00, 61
2026/05/26 16:05:57.281, 3, NVIDIA A100-PCIE-40GB, 87, 52, 6405, 40960, 217.10, 250.00, 62
2026/05/26 16:06:02.385, 3, NVIDIA A100-PCIE-40GB, 90, 52, 6405, 40960, 265.38, 250.00, 62
2026/05/26 16:06:07.494, 3, NVIDIA A100-PCIE-40GB, 85, 51, 6405, 40960, 239.65, 250.00, 63
2026/05/26 16:06:12.626, 3, NVIDIA A100-PCIE-40GB, 88, 52, 6405, 40960, 255.74, 250.00, 64
2026/05/26 16:06:17.758, 3, NVIDIA A100-PCIE-40GB, 86, 51, 6405, 40960, 265.31, 250.00, 64
2026/05/26 16:06:22.869, 3, NVIDIA A100-PCIE-40GB, 88, 52, 6405, 40960, 229.05, 250.00, 65
2026/05/26 16:06:28.006, 3, NVIDIA A100-PCIE-40GB, 88, 51, 6405, 40960, 254.53, 250.00, 66
2026/05/26 16:06:33.114, 3, NVIDIA A100-PCIE-40GB, 86, 52, 6405, 40960, 266.79, 250.00, 66
2026/05/26 16:06:38.245, 3, NVIDIA A100-PCIE-40GB, 87, 51, 6405, 40960, 229.31, 250.00, 66
2026/05/26 16:06:43.332, 3, NVIDIA A100-PCIE-40GB, 88, 51, 6405, 40960, 268.92, 250.00, 66
2026/05/26 16:06:48.442, 3, NVIDIA A100-PCIE-40GB, 90, 52, 6405, 40960, 262.60, 250.00, 67
2026/05/26 16:06:53.550, 3, NVIDIA A100-PCIE-40GB, 85, 50, 6405, 40960, 268.02, 250.00, 67
2026/05/26 16:06:58.689, 3, NVIDIA A100-PCIE-40GB, 88, 52, 6405, 40960, 229.92, 250.00, 68
2026/05/26 16:07:03.780, 3, NVIDIA A100-PCIE-40GB, 88, 50, 6405, 40960, 268.41, 250.00, 68
2026/05/26 16:07:08.886, 3, NVIDIA A100-PCIE-40GB, 88, 51, 6405, 40960, 270.59, 250.00, 68
2026/05/26 16:07:14.009, 3, NVIDIA A100-PCIE-40GB, 88, 52, 6405, 40960, 262.43, 250.00, 69
2026/05/26 16:07:19.129, 3, NVIDIA A100-PCIE-40GB, 86, 51, 6405, 40960, 233.04, 250.00, 69
2026/05/26 16:07:24.190, 3, NVIDIA A100-PCIE-40GB, 96, 56, 6405, 40960, 256.84, 250.00, 70
2026/05/26 16:07:29.321, 3, NVIDIA A100-PCIE-40GB, 87, 52, 6405, 40960, 248.57, 250.00, 70
2026/05/26 16:07:34.450, 3, NVIDIA A100-PCIE-40GB, 88, 51, 6405, 40960, 279.35, 250.00, 70
