timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu
2026/05/26 17:01:11.992, 0, NVIDIA L40S, 0, 0, 0, 46068, 38.78, 350.00, 36
2026/05/26 17:01:17.076, 0, NVIDIA L40S, 0, 0, 1337, 46068, 84.65, 350.00, 36
2026/05/26 17:01:22.156, 0, NVIDIA L40S, 0, 0, 1337, 46068, 83.49, 350.00, 37
2026/05/26 17:01:27.220, 0, NVIDIA L40S, 0, 0, 1337, 46068, 83.73, 350.00, 38
2026/05/26 17:01:32.281, 0, NVIDIA L40S, 0, 0, 1489, 46068, 85.38, 350.00, 38
2026/05/26 17:01:37.364, 0, NVIDIA L40S, 99, 73, 11709, 46068, 306.62, 350.00, 49
2026/05/26 17:01:42.409, 0, NVIDIA L40S, 99, 75, 11709, 46068, 312.19, 350.00, 52
2026/05/26 17:01:47.476, 0, NVIDIA L40S, 99, 72, 11709, 46068, 303.86, 350.00, 52
2026/05/26 17:01:52.541, 0, NVIDIA L40S, 98, 76, 11709, 46068, 308.97, 350.00, 56
2026/05/26 17:01:57.628, 0, NVIDIA L40S, 98, 72, 11709, 46068, 315.85, 350.00, 58
2026/05/26 17:02:02.697, 0, NVIDIA L40S, 98, 75, 11709, 46068, 312.83, 350.00, 60
