timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu
2026/05/26 15:56:12.833, 3, NVIDIA A100-PCIE-40GB, 0, 0, 0, 40960, 64.22, 250.00, 35
2026/05/26 15:56:17.905, 3, NVIDIA A100-PCIE-40GB, 0, 0, 4, 40960, 43.92, 250.00, 34
2026/05/26 15:56:22.991, 3, NVIDIA A100-PCIE-40GB, 0, 0, 1135, 40960, 45.94, 250.00, 34
2026/05/26 15:56:28.075, 3, NVIDIA A100-PCIE-40GB, 0, 0, 1135, 40960, 45.91, 250.00, 34
2026/05/26 15:56:33.174, 3, NVIDIA A100-PCIE-40GB, 0, 0, 1135, 40960, 45.86, 250.00, 34
2026/05/26 15:56:38.260, 3, NVIDIA A100-PCIE-40GB, 4, 1, 3985, 40960, 45.78, 250.00, 35
2026/05/26 15:56:43.382, 3, NVIDIA A100-PCIE-40GB, 89, 54, 6405, 40960, 210.54, 250.00, 46
2026/05/26 15:56:48.468, 3, NVIDIA A100-PCIE-40GB, 89, 53, 6405, 40960, 268.47, 250.00, 48
2026/05/26 15:56:53.601, 3, NVIDIA A100-PCIE-40GB, 87, 53, 6405, 40960, 234.74, 250.00, 51
2026/05/26 15:56:58.688, 3, NVIDIA A100-PCIE-40GB, 89, 53, 6405, 40960, 264.61, 250.00, 53
2026/05/26 15:57:03.783, 3, NVIDIA A100-PCIE-40GB, 89, 52, 6405, 40960, 217.08, 250.00, 54
2026/05/26 15:57:08.889, 3, NVIDIA A100-PCIE-40GB, 86, 52, 6405, 40960, 223.45, 250.00, 56
2026/05/26 15:57:14.018, 3, NVIDIA A100-PCIE-40GB, 89, 51, 6405, 40960, 221.00, 250.00, 58
2026/05/26 15:57:19.118, 3, NVIDIA A100-PCIE-40GB, 87, 52, 6405, 40960, 269.07, 250.00, 59
2026/05/26 15:57:24.203, 3, NVIDIA A100-PCIE-40GB, 88, 53, 6405, 40960, 247.04, 250.00, 60
2026/05/26 15:57:29.326, 3, NVIDIA A100-PCIE-40GB, 88, 52, 6405, 40960, 215.45, 250.00, 61
2026/05/26 15:57:34.438, 3, NVIDIA A100-PCIE-40GB, 88, 52, 6405, 40960, 215.40, 250.00, 62
2026/05/26 15:57:39.520, 3, NVIDIA A100-PCIE-40GB, 89, 52, 6405, 40960, 216.59, 250.00, 62
2026/05/26 15:57:44.645, 3, NVIDIA A100-PCIE-40GB, 86, 51, 6405, 40960, 251.91, 250.00, 63
2026/05/26 15:57:49.754, 3, NVIDIA A100-PCIE-40GB, 88, 53, 6405, 40960, 234.29, 250.00, 64
2026/05/26 15:57:54.877, 3, NVIDIA A100-PCIE-40GB, 90, 52, 6405, 40960, 222.87, 250.00, 64
2026/05/26 15:57:59.981, 3, NVIDIA A100-PCIE-40GB, 90, 52, 6405, 40960, 229.13, 250.00, 65
2026/05/26 15:58:05.118, 3, NVIDIA A100-PCIE-40GB, 90, 51, 6405, 40960, 266.45, 250.00, 65
2026/05/26 15:58:10.204, 3, NVIDIA A100-PCIE-40GB, 90, 51, 6405, 40960, 270.02, 250.00, 66
2026/05/26 15:58:15.318, 3, NVIDIA A100-PCIE-40GB, 89, 52, 6405, 40960, 213.69, 250.00, 66
2026/05/26 15:58:20.454, 3, NVIDIA A100-PCIE-40GB, 89, 51, 6405, 40960, 216.64, 250.00, 67
2026/05/26 15:58:25.554, 3, NVIDIA A100-PCIE-40GB, 89, 52, 6405, 40960, 253.12, 250.00, 68
2026/05/26 15:58:30.681, 3, NVIDIA A100-PCIE-40GB, 85, 51, 6405, 40960, 215.30, 250.00, 68
2026/05/26 15:58:35.793, 3, NVIDIA A100-PCIE-40GB, 84, 49, 6405, 40960, 234.61, 250.00, 69
