timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu
2026/05/26 14:59:55.099, 1, Quadro RTX 6000, 0, 0, 0, 23040, 26.58, 250.00, 31
2026/05/26 15:00:00.197, 1, Quadro RTX 6000, 100, 62, 585, 23040, 248.88, 250.00, 37
2026/05/26 15:00:05.288, 1, Quadro RTX 6000, 100, 61, 585, 23040, 248.21, 250.00, 43
2026/05/26 15:00:10.671, 1, Quadro RTX 6000, 100, 64, 585, 23040, 243.14, 250.00, 46
2026/05/26 15:00:15.764, 1, Quadro RTX 6000, 100, 62, 585, 23040, 245.54, 250.00, 49
2026/05/26 15:00:20.873, 1, Quadro RTX 6000, 100, 62, 585, 23040, 249.99, 250.00, 51
2026/05/26 15:00:25.987, 1, Quadro RTX 6000, 100, 61, 585, 23040, 241.98, 250.00, 54
2026/05/26 15:00:31.079, 1, Quadro RTX 6000, 100, 64, 585, 23040, 244.48, 250.00, 56
2026/05/26 15:00:36.212, 1, Quadro RTX 6000, 100, 65, 585, 23040, 246.15, 250.00, 58
2026/05/26 15:00:41.300, 1, Quadro RTX 6000, 100, 63, 585, 23040, 243.57, 250.00, 60
2026/05/26 15:00:46.427, 1, Quadro RTX 6000, 100, 65, 585, 23040, 248.38, 250.00, 62
2026/05/26 15:00:51.509, 1, Quadro RTX 6000, 100, 65, 585, 23040, 242.42, 250.00, 63
2026/05/26 15:00:56.603, 1, Quadro RTX 6000, 100, 67, 585, 23040, 243.59, 250.00, 64
2026/05/26 15:01:01.731, 1, Quadro RTX 6000, 100, 68, 585, 23040, 235.12, 250.00, 65
2026/05/26 15:01:06.820, 1, Quadro RTX 6000, 100, 68, 585, 23040, 235.41, 250.00, 66
2026/05/26 15:01:11.927, 1, Quadro RTX 6000, 100, 67, 585, 23040, 245.17, 250.00, 66
2026/05/26 15:01:17.036, 1, Quadro RTX 6000, 100, 66, 585, 23040, 243.65, 250.00, 66
2026/05/26 15:01:22.147, 1, Quadro RTX 6000, 100, 68, 585, 23040, 237.30, 250.00, 66
2026/05/26 15:01:27.277, 1, Quadro RTX 6000, 100, 66, 585, 23040, 245.81, 250.00, 67
2026/05/26 15:01:32.371, 1, Quadro RTX 6000, 100, 69, 585, 23040, 246.44, 250.00, 67
2026/05/26 15:01:37.457, 1, Quadro RTX 6000, 100, 70, 585, 23040, 236.95, 250.00, 66
2026/05/26 15:01:42.547, 1, Quadro RTX 6000, 100, 54, 585, 23040, 251.44, 250.00, 66
2026/05/26 15:01:47.632, 1, Quadro RTX 6000, 100, 66, 585, 23040, 244.73, 250.00, 66
2026/05/26 15:01:52.716, 1, Quadro RTX 6000, 100, 70, 585, 23040, 244.87, 250.00, 66
2026/05/26 15:01:57.810, 1, Quadro RTX 6000, 100, 68, 585, 23040, 238.16, 250.00, 65
2026/05/26 15:02:03.847, 1, Quadro RTX 6000, 100, 69, 585, 23040, 245.26, 250.00, 65
2026/05/26 15:02:08.934, 1, Quadro RTX 6000, 100, 71, 585, 23040, 244.05, 250.00, 65
2026/05/26 15:02:14.046, 1, Quadro RTX 6000, 100, 69, 585, 23040, 244.56, 250.00, 65
2026/05/26 15:02:19.170, 1, Quadro RTX 6000, 100, 69, 585, 23040, 244.36, 250.00, 64
2026/05/26 15:02:24.258, 1, Quadro RTX 6000, 100, 70, 585, 23040, 241.96, 250.00, 64
2026/05/26 15:02:29.346, 1, Quadro RTX 6000, 100, 68, 585, 23040, 241.89, 250.00, 64
2026/05/26 15:02:34.433, 1, Quadro RTX 6000, 100, 71, 585, 23040, 245.67, 250.00, 64
2026/05/26 15:02:39.518, 1, Quadro RTX 6000, 100, 68, 585, 23040, 251.59, 250.00, 63
2026/05/26 15:02:44.651, 1, Quadro RTX 6000, 100, 68, 585, 23040, 243.34, 250.00, 63
2026/05/26 15:02:49.770, 1, Quadro RTX 6000, 100, 69, 585, 23040, 243.09, 250.00, 63
2026/05/26 15:02:54.855, 1, Quadro RTX 6000, 100, 68, 585, 23040, 249.71, 250.00, 63
2026/05/26 15:02:59.943, 1, Quadro RTX 6000, 100, 68, 585, 23040, 242.45, 250.00, 62
2026/05/26 15:03:05.029, 1, Quadro RTX 6000, 100, 54, 585, 23040, 251.05, 250.00, 62
2026/05/26 15:03:10.116, 1, Quadro RTX 6000, 100, 56, 585, 23040, 253.87, 250.00, 62
2026/05/26 15:03:15.209, 1, Quadro RTX 6000, 100, 70, 585, 23040, 241.04, 250.00, 62
2026/05/26 15:03:20.315, 1, Quadro RTX 6000, 100, 65, 585, 23040, 252.82, 250.00, 62
2026/05/26 15:03:25.443, 1, Quadro RTX 6000, 100, 69, 585, 23040, 245.03, 250.00, 61
2026/05/26 15:03:30.550, 1, Quadro RTX 6000, 100, 68, 585, 23040, 245.76, 250.00, 61
2026/05/26 15:03:35.683, 1, Quadro RTX 6000, 100, 66, 585, 23040, 241.00, 250.00, 61
2026/05/26 15:03:40.811, 1, Quadro RTX 6000, 100, 67, 585, 23040, 244.23, 250.00, 61
2026/05/26 15:03:45.918, 1, Quadro RTX 6000, 100, 68, 585, 23040, 244.34, 250.00, 61
2026/05/26 15:03:51.010, 1, Quadro RTX 6000, 100, 70, 585, 23040, 245.55, 250.00, 60
2026/05/26 15:03:56.126, 1, Quadro RTX 6000, 100, 67, 585, 23040, 241.68, 250.00, 60
2026/05/26 15:04:01.212, 1, Quadro RTX 6000, 100, 65, 585, 23040, 245.46, 250.00, 60
2026/05/26 15:04:06.340, 1, Quadro RTX 6000, 100, 67, 585, 23040, 254.44, 250.00, 60
2026/05/26 15:04:11.424, 1, Quadro RTX 6000, 100, 67, 585, 23040, 244.98, 250.00, 60
2026/05/26 15:04:16.537, 1, Quadro RTX 6000, 100, 70, 585, 23040, 240.25, 250.00, 60
2026/05/26 15:04:21.626, 1, Quadro RTX 6000, 100, 68, 585, 23040, 251.11, 250.00, 60
2026/05/26 15:04:26.712, 1, Quadro RTX 6000, 100, 65, 585, 23040, 247.93, 250.00, 60
2026/05/26 15:04:31.797, 1, Quadro RTX 6000, 100, 66, 585, 23040, 241.10, 250.00, 59
2026/05/26 15:04:36.886, 1, Quadro RTX 6000, 100, 67, 585, 23040, 241.47, 250.00, 59
2026/05/26 15:04:41.975, 1, Quadro RTX 6000, 100, 67, 585, 23040, 244.24, 250.00, 59
2026/05/26 15:04:47.109, 1, Quadro RTX 6000, 100, 68, 585, 23040, 246.31, 250.00, 59
2026/05/26 15:04:52.197, 1, Quadro RTX 6000, 100, 69, 585, 23040, 241.98, 250.00, 59
2026/05/26 15:04:57.309, 1, Quadro RTX 6000, 100, 67, 585, 23040, 239.67, 250.00, 59
