timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu
2026/05/26 15:00:12.489, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 21.20, 200.00, 30
2026/05/26 15:00:17.571, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 20.34, 200.00, 30
2026/05/26 15:00:22.651, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.49, 200.00, 30
2026/05/26 15:00:27.730, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.32, 200.00, 30
2026/05/26 15:00:32.806, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.13, 200.00, 30
2026/05/26 15:00:37.944, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.26, 200.00, 30
2026/05/26 15:00:43.044, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.30, 200.00, 30
2026/05/26 15:00:48.124, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.24, 200.00, 30
2026/05/26 15:00:53.201, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.35, 200.00, 30
2026/05/26 15:00:58.277, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.40, 200.00, 30
2026/05/26 15:01:03.375, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.47, 200.00, 30
2026/05/26 15:01:08.453, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.59, 200.00, 30
2026/05/26 15:01:13.531, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.47, 200.00, 30
2026/05/26 15:01:18.607, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.32, 200.00, 30
2026/05/26 15:01:23.687, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.22, 200.00, 30
2026/05/26 15:01:28.762, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.47, 200.00, 30
2026/05/26 15:01:33.839, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.48, 200.00, 30
2026/05/26 15:01:38.919, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.47, 200.00, 30
2026/05/26 15:01:43.999, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.39, 200.00, 30
2026/05/26 15:01:49.078, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.26, 200.00, 30
2026/05/26 15:01:54.154, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.45, 200.00, 30
2026/05/26 15:02:00.479, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.68, 200.00, 30
2026/05/26 15:02:05.806, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.71, 200.00, 30
2026/05/26 15:02:10.882, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.50, 200.00, 30
2026/05/26 15:02:15.959, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.33, 200.00, 30
2026/05/26 15:02:21.038, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.53, 200.00, 30
2026/05/26 15:02:26.113, 2, NVIDIA RTX A4500, 0, 0, 1, 20470, 16.47, 200.00, 30
